r_export,category,python_symbol,status
getCoordsMtr,get,getCoordsMtr,implemented
getCoordsRange,get,getCoordsRange,implemented
getCountMatrix,get,,pending
getDeaGenes,get,,pending
getDeaLfcName,get,,pending
getDeaOverview,get,,pending
getDeaResultsDf,get,,pending
getDefault,get,,pending
getDefaultGrouping,get,,pending
getDefaultInstructions,get,,pending
getDefaultUnit,get,,pending
getExpressionMatrix,get,,pending
getExpressionMatrixNames,get,,pending
getFeatureDf,get,getFeatureDf,implemented
getFeatureNames,get,,pending
getGeneMetaData,get,,pending
getGeneMetaDf,get,,pending
getGenePosDf,get,,pending
getGeneSet,get,,pending
getGeneSetDf,get,,pending
getGeneSetList,get,,pending
getGeneSetOverview,get,,pending
getGeneSets,get,,pending
getGenes,get,,pending
getGridVisiumHD,get,,pending
getGroupNames,get,,pending
getGroupingOptions,get,,pending
getGseaDf,get,,pending
getGseaResults,get,,pending
getHistoImage,get,,pending
getHistoImageRef,get,,pending
getImage,get,,pending
getImageAnnotationAreaDf,get,,pending
getImageAnnotationCenter,get,,pending
getImageAnnotationIds,get,,pending
getImageAnnotationTags,get,,pending
getImageCenter,get,,pending
getImageDf,get,,pending
getImageDims,get,,pending
getImageDir,get,,pending
getImageDirDefault,get,,pending
getImageDirHighres,get,,pending
getImageDirLowres,get,,pending
getImageDirectories,get,,pending
getImageNames,get,,pending
getImageRange,get,,pending
getImageRaster,get,,pending
getImageRasterInfo,get,,pending
getImageSectionsByBarcode,get,,pending
getImageTransformations,get,,pending
getImgAnnArea,get,,pending
getImgAnnBorderDf,get,,pending
getImgAnnCenter,get,,pending
getImgAnnCenters,get,,pending
getImgAnnIds,get,,pending
getImgAnnOutlineDf,get,,pending
getImgAnnRange,get,,pending
getImgAnnTags,get,,pending
getLogfileDf,get,,pending
getMatrices,get,,pending
getMatrix,get,,pending
getMatrixNames,get,,pending
getMetaDf,get,,pending
getMetaNames,get,,pending
getMetaVarDf,get,,pending
getMetaboliteOverview,get,,pending
getMetaboliteSet,get,,pending
getMetaboliteSetList,get,,pending
getMetaboliteSets,get,,pending
getMetabolites,get,,pending
getMethodSpecifics,get,,pending
getModality,get,,pending
getMoleculeCoordinates,get,,pending
getMoleculeTypeList,get,,pending
getMolecules,get,,pending
getPcaDf,get,,pending
getPcaMtr,get,,pending
getPixelDf,get,,pending
getPixelScaleFactor,get,,pending
getPlatform,get,,pending
getProcessedMatrix,get,,pending
getProcessedMatrixNames,get,,pending
getProjectionDf,get,,pending
getProteinSet,get,,pending
getProteinSetList,get,,pending
getProteinSetOverview,get,,pending
getProteinSets,get,,pending
getProteins,get,,pending
getResultsDf,get,,pending
getResultsVec,get,,pending
getSampleAreaSize,get,,pending
getSampleName,get,,pending
getSasDf,get,,pending
getScaleFactor,get,,pending
getSegmentationNames,get,,pending
getSgsResultsDf,get,,pending
getSgsResultsVec,get,,pending
getSignature,get,,pending
getSignatureList,get,,pending
getSignatureNames,get,,pending
getSignatureOverview,get,,pending
getSignatureTypeList,get,,pending
getSmrdResultsDf,get,,pending
getSparkxGeneDf,get,,pending
getSparkxGenes,get,,pending
getSparkxResults,get,,pending
getSpatAnnArea,get,,pending
getSpatAnnBarcodes,get,,pending
getSpatAnnCenter,get,,pending
getSpatAnnCenterBcsp,get,,pending
getSpatAnnCenters,get,,pending
getSpatAnnIds,get,,pending
getSpatAnnOutlineDf,get,,pending
getSpatAnnRange,get,,pending
getSpatAnnSf,get,,pending
getSpatAnnTags,get,,pending
getSpatSegmVarNames,get,,pending
getSpataDf,get,,pending
getSpataDir,get,,pending
getSpatialAnnotation,get,,pending
getSpatialAnnotations,get,,pending
getSpatialData,get,,pending
getSpatialMethod,get,,pending
getSpatialTrajectories,get,,pending
getSpatialTrajectory,get,,pending
getSpatialTrajectoryIds,get,,pending
getSpotSize,get,,pending
getStsDf,get,,pending
getTissueArea,get,,pending
getTissueOutlineCentroid,get,,pending
getTissueOutlineDf,get,getTissueOutlineDf,implemented
getTissueSections,get,,pending
getTrajectory,get,,pending
getTrajectoryDf,get,,pending
getTrajectoryIds,get,,pending
getTrajectoryLength,get,,pending
getTrajectoryNames,get,,pending
getTrajectoryObject,get,,pending
getTrajectoryScreeningDf,get,,pending
getTrajectorySegmentDf,get,,pending
getTrajectoryWidth,get,,pending
getTsneDf,get,,pending
getUmapDf,get,,pending
getVarTypeList,get,,pending
getVariableMolecules,get,,pending
getVariableNames,get,,pending
ggpInit,ggp,,pending
ggpLayerAxesClean,ggp,,pending
ggpLayerAxesSI,ggp,,pending
ggpLayerCaptureArea,ggp,,pending
ggpLayerColorGroupScale,ggp,,pending
ggpLayerEncirclingGroups,ggp,,pending
ggpLayerEncirclingSAS,ggp,,pending
ggpLayerExprEstimatesSAS,ggp,,pending
ggpLayerFixFrame,ggp,,pending
ggpLayerFrame,ggp,,pending
ggpLayerFrameByCoords,ggp,,pending
ggpLayerFrameByImage,ggp,,pending
ggpLayerGridVisiumHD,ggp,,pending
ggpLayerGroupOutline,ggp,,pending
ggpLayerHorizonSAS,ggp,,pending
ggpLayerImage,ggp,,pending
ggpLayerImageAnnotation,ggp,,pending
ggpLayerImgAnnBorder,ggp,,pending
ggpLayerPoints,ggp,,pending
ggpLayerRect,ggp,,pending
ggpLayerSampleMask,ggp,,pending
ggpLayerScaleBarSI,ggp,,pending
ggpLayerScreeningDirectionSAS,ggp,,pending
ggpLayerSpatAnnOutline,ggp,,pending
ggpLayerSpatAnnPointer,ggp,,pending
ggpLayerSpatAnnRect,ggp,,pending
ggpLayerSpatialTrajectories,ggp,,pending
ggpLayerThemeCoords,ggp,,pending
ggpLayerTissueOutline,ggp,,pending
ggpLayerTrajectories,ggp,,pending
ggpLayerTrajectoryFrame,ggp,,pending
ggpLayerZoom,ggp,,pending
hlpr_adjust_legend_size,other,,pending
hlpr_assign_arguments,other,,pending
hlpr_breaks,other,,pending
hlpr_dist_mtr_to_df,other,,pending
hlpr_drop_all_na,other,,pending
hlpr_gene_set_name,other,,pending
hlpr_image_add_on,other,,pending
hlpr_image_add_on2,other,,pending
hlpr_image_to_df,other,,pending
hlpr_join_with_aes,other,,pending
hlpr_join_with_color_by,other,,pending
hlpr_labs_add_on,other,,pending
hlpr_normalize_imap,other,,pending
hlpr_normalize_vctr,other,,pending
hlpr_one_distinct,other,,pending
hlpr_save_spata_object,other,,pending
hlpr_scatterplot,other,,pending
hlpr_smooth,other,,pending
hlpr_smooth_shiny,other,,pending
hlpr_subset_across,other,,pending
hlpr_transfer_slot_content,other,,pending
hlpr_vector_projection,other,,pending
hlpr_widen_trajectory_df,other,,pending
idSA,other,,pending
idST,other,,pending
identifyBackgroundColor,identify,,pending
identifySpatialOutliers,identify,identifySpatialOutliers,implemented
identifyTissueOutline,identify,identifyTissueOutline,implemented
identifyTissueSections,identify,,pending
identifyVariableMolecules,identify,,pending
identify_obs_in_polygon,identify,,pending
identify_obs_in_spat_ann,identify,,pending
initiateSpataObject,other,,pending
initiateSpataObjectMERFISH,other,,pending
initiateSpataObjectSlideSeqV1,other,,pending
initiateSpataObjectVisium,other,,pending
initiateSpataObjectVisiumHD,other,,pending
initiateSpataObjectXenium,other,,pending
isDirVisium,is,,pending
isFeature,is,,pending
isGene,is,,pending
isGeneSet,is,,pending
isNumericVariable,is,,pending
isSPATA2,is,,pending
isSpatialTrajectory,is,,pending
isTrajectory,is,,pending
is_area,is,,pending
is_area_pixel,is,,pending
is_area_si,is,,pending
is_dist,is,,pending
is_dist_pixel,is,,pending
is_dist_si,is,,pending
is_outlier,is,is_outlier,implemented
is_unit_area,is,,pending
is_unit_dist,is,,pending
joinWith,other,,pending
joinWithFeatures,other,,pending
joinWithGeneSets,other,,pending
joinWithGenes,other,,pending
joinWithPca,other,,pending
joinWithTsne,other,,pending
joinWithUmap,other,,pending
joinWithVariables,other,,pending
labsNone,other,,pending
lastImageAnnotation,other,,pending
legendBottom,other,,pending
legendColor,other,,pending
legendLeft,other,,pending
legendNone,other,,pending
legendRight,other,,pending
legendTop,other,,pending
loadExampleObject,other,,pending
loadImage,other,,pending
loadImageDefault,other,,pending
loadImageHighres,other,,pending
loadImageLowres,other,,pending
loadImages,other,,pending
loadSpataObject,other,,pending
make_binary_image,other,,pending
make_bins,other,,pending
make_orthogonal_segment,other,,pending
mapSpatialAnnotationTags,other,,pending
map_to_tissue_section,other,,pending
mergeGroups,other,,pending
mergeSpatialAnnotations,other,,pending
mergeTissueSections,other,,pending
mergeWithTissueOutline,other,,pending
merge_intersecting_polygons,other,,pending
model_ascending,other,,pending
model_descending,other,,pending
model_formulas,other,,pending
model_formulas_R2_est,other,,pending
model_formulas_old,other,,pending
model_peak,other,,pending
model_trough,other,,pending
nCounts,other,,pending
nGenes,other,,pending
nImageDims,other,,pending
nImages,other,,pending
nMetabolites,other,,pending
nMolecules,other,,pending
nObs,other,,pending
nProteins,other,,pending
nSpatialAnnotations,other,,pending
nSpatialTrajectories,other,,pending
nTrajectories,other,,pending
normalizeCounts,other,,pending
objectMemoryUsage,other,,pending
obsUnit,other,,pending
plotAutoencoderAssessment,plot,,pending
plotAutoencoderResults,plot,,pending
plotBarchart,plot,,pending
plotBoxplot,plot,,pending
plotCnvHeatmap,plot,,pending
plotCnvLineplot,plot,,pending
plotCnvResults,plot,,pending
plotDeaDotPlot,plot,,pending
plotDeaHeatmap,plot,,pending
plotDeaVolcano,plot,,pending
plotDeaVolcano1v1,plot,,pending
plotDensityplot,plot,,pending
plotExprVsDistSA,plot,,pending
plotExprVsDistST,plot,,pending
plotGseaDotPlot,plot,,pending
plotHistogram,plot,,pending
plotImage,plot,,pending
plotImageAnnotations,plot,,pending
plotImageMask,plot,,pending
plotImages,plot,,pending
plotLoglik,plot,,pending
plotMolecules2D,plot,,pending
plotMosaicplot,plot,,pending
plotOverview,plot,,pending
plotPCA,plot,,pending
plotPca,plot,,pending
plotPcaElbow,plot,,pending
plotPcaVariation,plot,,pending
plotPixelContent,plot,,pending
plotRidgeplot,plot,,pending
plotRiverplot,plot,,pending
plotSasBarplot,plot,,pending
plotSasDensityplot,plot,,pending
plotSasHeatmap,plot,,pending
plotSasLineplot,plot,,pending
plotSasRidgeplot,plot,,pending
plotScatterplot,plot,,pending
plotSpatialAnnotations,plot,,pending
plotSpatialTrajectories,plot,,pending
plotStatisticsInteractive,plot,,pending
plotStsBarplot,plot,,pending
plotStsHeatmap,plot,,pending
plotStsLineplot,plot,,pending
plotStsRidgeplot,plot,,pending
plotSurface,plot,,pending
plotSurfaceBase,plot,,pending
plotSurfaceComparison,plot,,pending
plotSurfaceInteractive,plot,,pending
plotSurfaceQuantiles,plot,,pending
plotSurfaceSAS,plot,,pending
plotSurfaceSC,plot,,pending
plotTSNE,plot,,pending
plotTrajectoryBarplot,plot,,pending
plotTrajectoryHeatmap,plot,,pending
plotTrajectoryLineplot,plot,,pending
plotTrajectoryRidgeplot,plot,,pending
plotTsne,plot,,pending
plotTsneComparison,plot,,pending
plotUMAP,plot,,pending
plotUmap,plot,,pending
plotUmapComparison,plot,,pending
plotVioBoxplot,plot,,pending
plotViolinplot,plot,,pending
polygon_inside_polygon,other,,pending
polygon_intersects_polygon,other,,pending
prepare_coords_df_visium_hd,other,,pending
printAutoencoderSummary,other,,pending
printDefaultInstructions,other,,pending
printGeneSetOverview,other,,pending
processImage,other,,pending
process_expand_input,other,,pending
project_on_trajectory,other,,pending
project_on_vector,other,,pending
protected_spatial_method_info_slots,other,,pending
protected_variable_names,other,,pending
protected_variable_names_lst,other,,pending
read_coords,read,,pending
read_coords_merfish,read,,pending
read_coords_slide_seq_v1,read,,pending
read_coords_visium,read,,pending
read_coords_xenium,read,,pending
read_matrix_from_folder,read,,pending
recAlpha,other,,pending
recDbscanEps,other,,pending
recDbscanMinPts,other,,pending
recSgsRes,other,,pending
reduceResolutionVisiumHD,other,,pending
reduceSpataObject,other,,pending
reduce_coords_df_visium_hd,other,,pending
refImage,other,,pending
regexes,other,,pending
registerImage,other,,pending
relateToSpatialAnnotation,other,,pending
relevelGroups,other,,pending
removeGenes,remove,,pending
removeGenesMitochondrial,remove,,pending
removeGenesRibosomal,remove,,pending
removeGenesStress,remove,,pending
removeGenesZeroCounts,remove,,pending
removeImage,remove,,pending
removeMetaFeatures,remove,,pending
removeMolecules,remove,,pending
removeObs,remove,,pending
removeObsZeroCounts,remove,,pending
removeProcessedMatrix,remove,,pending
removeSignatures,remove,,pending
removeSpatialAnnotations,remove,,pending
removeSpatialOutliers,remove,removeSpatialOutliers,implemented
removeSpatialTrajectories,remove,,pending
removeTissueFragments,remove,,pending
renameGroups,other,,pending
renameImage,other,,pending
renameMetaFeatures,other,,pending
renameMolecularAssay,other,,pending
renameSpataObject,other,,pending
renameSpatialAnnotation,other,,pending
renameSpatialTrajectory,other,,pending
renameTissueSection,other,,pending
resetImageJustification,other,,pending
resetImageTransformations,other,,pending
resizeImage,other,,pending
resize_image,other,,pending
rotateAll,other,,pending
rotateCoordinates,other,,pending
rotateCoordsDf,other,,pending
rotateImage,other,,pending
rotateSpatialAnnotation,other,,pending
rotateSpatialAnnotations,other,,pending
rotateSpatialTrajectories,other,,pending
rotateTissueOutlineDf,other,,pending
rotate_coords_df,other,,pending
runAutoencoderDenoising,run,,pending
runBayesSpaceClustering,run,,pending
runCNV,run,,pending
runCnvAnalysis,run,,pending
runDEA,run,,pending
runDeAnalysis,run,,pending
runGSEA,run,,pending
runKmeansClustering,run,,pending
runPCA,run,,pending
runSPARKX,run,,pending
runSPROD,run,,pending
runSeuratClustering,run,,pending
runSparkx,run,,pending
runTSNE,run,,pending
runTsne,run,,pending
runUMAP,run,,pending
runUmap,run,,pending
saveSpataObject,other,,pending
scale_color_add_on,other,,pending
scale_coords_df,other,,pending
segments_to_vertices,other,,pending
setActiveExpressionMatrix,set,,pending
setActiveMatrix,set,,pending
setAssay,set,,pending
setCCD,set,,pending
setCaptureArea,set,,pending
setCnvResults,set,,pending
setCoordsDf,set,,pending
setCountMatrix,set,,pending
setDeaResultsDf,set,,pending
setDefault,set,,pending
setDefaultInstructions,set,,pending
setDenoisedMatrix,set,,pending
setDirectoryInstructions,set,,pending
setHistoImage,set,,pending
setImage,set,,pending
setImageAnnotation,set,,pending
setImageAnnotations,set,,pending
setImageDir,set,,pending
setImageTransformations,set,,pending
setLogfileDf,set,,pending
setMetaDf,set,,pending
setMetaVarDf,set,,pending
setPcaDf,set,,pending
setProcessedMatrix,set,,pending
setScaleFactor,set,,pending
setSpataDir,set,,pending
setSpatialAnnotation,set,,pending
setSpatialAnnotations,set,,pending
setSpatialData,set,,pending
setSpatialMethod,set,,pending
setSpatialMethodInfo,set,,pending
setSpatialMethodSlot,set,,pending
setSpatialTrajectories,set,,pending
setSpatialTrajectory,set,,pending
setTrajectories,set,,pending
setTrajectory,set,,pending
setTsneDf,set,,pending
setUmapDf,set,,pending
setUpMetaVar,set,,pending
sgs_loess_control,other,,pending
shiftSpatialAnnotation,other,,pending
shinyModuleZoomingServer,other,,pending
showColorPalettes,other,,pending
showColorSpectra,other,,pending
showColors,other,,pending
showModels,other,,pending
simulate_complete_coords_sa,other,,pending
simulate_complete_coords_st,other,,pending
simulate_expression_pattern_sas,other,,pending
simulate_expression_pattern_sts,other,,pending
simulate_random_expression,other,,pending
simulate_random_gradients,other,,pending
smoothSpatialAnnotation,other,,pending
sort_into_components,other,,pending
spata2,other,,pending
spatialAnnotationScreening,other,,pending
spatialAnnotationToGrouping,other,,pending
spatialTrajectoryScreening,other,,pending
spatial_gradient_screening,other,,pending
spatial_methods,other,,pending
spatial_trajectory,other,,pending
splitSpataObject,other,,pending
subsetByBarcodes,other,,pending
subsetSpataObject,other,,pending
summarize_formulas,other,,pending
tagSpatialAnnotations,other,,pending
theme_lineplot_gradient,other,,pending
theme_ridgeplot_gradient,other,,pending
theme_trajectory_fit,other,,pending
theme_transparent,other,,pending
transform_area_si_to_pixel,other,,pending
transform_area_si_to_pixels,other,,pending
transform_coords,other,,pending
transform_dist_si_to_pixel,other,,pending
transform_dist_si_to_pixels,other,,pending
transform_image,other,,pending
transform_pixel_to_area_si,other,,pending
transform_pixel_to_dist_si,other,,pending
transform_pixels_to_area_si,other,,pending
transform_pixels_to_dist_si,other,,pending
unloadImage,other,,pending
unloadImages,other,,pending
unwindAggregation,other,,pending
updateS4,other,,pending
updateSpataObject,other,,pending
update_s4_architecture_of_spata2_object,other,,pending
useVarForTissueOutline,other,,pending
validActivationFunctions,other,,pending
validAgglomerationMethods,other,,pending
validAlluvialTypes,other,,pending
validColorPalettes,other,,pending
validColorSpectra,other,,pending
validDeaMethods,other,,pending
validDefaultInstructionSlots,other,,pending
validDistanceMethods,other,,pending
validHierarchicalClusterMethods,other,,pending
validModelNames,other,,pending
validPadjMethods,other,,pending
validSpatialMethods,other,,pending
validUnits,other,,pending
validUnitsOfArea,other,,pending
validUnitsOfAreaSI,other,,pending
validUnitsOfLength,other,,pending
visiumHD_ranges,other,,pending
visiumHD_resolutions,other,,pending
visiumSpotDistances,other,,pending
vselect,other,,pending
whichTissueSection,other,,pending
writeImage,other,,pending
